Date,Description,Value,Bed / Barrel
07/06/2021,Birthday,,A + B
07/06/2021,Soil amendment added: A1 Organic's EcoGro (Colorado),135 cubic feet,A + B
07/19/2021,Soil amendment added: Premier Peat Moss Organic (Canada),6 cubic feet,A + B
09/02/2021,Chef's medley planted,,Barrel C
