Date,Type,Total weight (pounds),Quarter,Note
07/14/2022,Mixed papers,4.920,,
07/14/2022,Plastics #4,1.034,,
07/14/2022,Corrugated cardboard,6.704,,
07/14/2022,Plastics #1 + #2,0.808,,
07/14/2022,Plastics #5,0.582,,
07/14/2022,Tetra Paks,0.106,,
08/15/2022,Aluminum,0.458,,
08/15/2022,Scrap metal,2.298,,
08/15/2022,Plastics #1 + #2,1.244,,
08/15/2022,Plastics #5,0.412,,
08/15/2022,Glass,6.250,,
08/15/2022,Corrugated cardboard,4.882,,
08/15/2022,Mixed papers,4.438,,
09/03/2022,Plastics #4,0.734,,
09/23/2022,Corrugated cardboard,0.748,,
09/23/2022,Mixed papers,4.154,,
09/23/2022,Scrap metal,2.156,,
09/26/2022,Plastics #1 + #2,1.336,,
09/26/2022,Plastics #5,0.748,,
09/26/2022,Tetra Paks,0.106,,
10/24/2022,Plastics #1 + #2,1.154,,
10/24/2022,Plastics #5,0.838,,
10/24/2022,Tetra Paks,0.248,,
11/07/2022,Mixed papers,4.246,,
11/07/2022,Aluminum,0.960,,
11/07/2022,Scrap metal,3.954,,
11/07/2022,Glass,8.514,,
12/06/2022,Plastics #1 + #2,1.714,,
12/06/2022,Plastics #5,0.258,,
12/06/2022,Plastics #4,0.526,,
12/31/2022,Plastics #1 + #2,1.136,,
12/31/2022,Plastics #5,1.194,,
12/31/2022,Aluminum,0.872,,
12/31/2022,Scrap metal,3.636,,
12/31/2022,Mixed papers,6.622,,
12/31/2022,Glass,9.678,,
12/31/2022,Corrugated cardboard,3.370,,
12/31/2022,Plastics #1 + #2,2.108,,
03/31/2023,Aluminum,0.724,2023 Quarter 1,
03/31/2023,Corrugated cardboard,5.058,2023 Quarter 1,
03/31/2023,E-Waste,24.468,2023 Quarter 1,"iMac, Macbook Air, Airpods, Keyboard, Mouse"
03/31/2023,Glass,13.302,2023 Quarter 1,
03/31/2022,Mixed papers,13.548,2023 Quarter 1,
03/31/2023,Plastics #1 + #2,4.088,2023 Quarter 1,
03/31/2023,Plastics #4,0.698,2023 Quarter 1,
03/31/2023,Plastics #5,1.488,2023 Quarter 1,
03/31/2023,Scrap metal,5.166,2023 Quarter 1,
06/30/2023,Aluminum,0.846,2023 Quarter 2,
06/30/2023,Corrugated cardboard,7.566,2023 Quarter 2,
06/30/2023,Glass,14.642,2023 Quarter 2,
06/30/2023,Mixed papers,6.492,2023 Quarter 2,
06/30/2023,Plastics #1 + #2,4.850,2023 Quarter 2,
06/30/2023,Plastics #4,1.592,2023 Quarter 2,
06/30/2023,Plastics #5,0.846,2023 Quarter 2,
06/30/2023,Scrap metal,3.018,2023 Quarter 2,
09/30/2023,Aluminum,0.212,2023 Quarter 3,
09/30/2023,Corrugated cardboard,1.518,2023 Quarter 3,
09/30/2023,Glass,5.532,2023 Quarter 3,
09/30/2023,Mixed papers,3.556,2023 Quarter 3,
09/30/2023,Plastics #1 + #2,2.784,2023 Quarter 3,
09/30/2023,Plastics #4,1.148,2023 Quarter 3,
09/30/2023,Plastics #5,0.746,2023 Quarter 3,
09/30/2023,Scrap metal,4.284,2023 Quarter 3,
