Date,"Type (compostable, landfill, recyclable)",Total weight (pounds),Container weight (pounds),Net weight (pounds),Note
10/27/20 6:05 PM,compostable,3.742,1.128,2.614,
10/28/20 12:47 PM,compostable,1.816,1.128,0.688,
11/1/20 7:21 AM,compostable,3.902,1.128,2.774,
11/7/20 6:34 PM,compostable,2.482,1.128,1.354,
11/10/20 10:19 AM,compostable,3.242,1.128,2.114,
11/15/20 10:19 AM,compostable,4.066,1.128,2.938,
11/17/20 2:05 PM,compostable,2.408,1.128,1.280,
11/20/20 11:30 AM,compostable,3.432,1.128,2.304,
11/23/20 8:34 AM,compostable,1.926,1.128,0.798,
11/27/20 7:31 AM,compostable,3.878,1.128,2.750,
12/1/20 2:40 PM,compostable,2.702,1.128,1.574,
12/4/20 2:30 PM,compostable,2.896,1.128,1.768,
12/5/20 2:04 PM,compostable,2.708,1.128,1.580,
12/6/20 8:29 AM,compostable,1.622,1.128,0.494,
12/6/20 8:11 PM,compostable,1.818,1.128,0.690,
12/9/20 1:08 PM,compostable,3.248,1.128,2.120,
12/12/20 9:12 AM,compostable,2.112,1.128,0.984,
12/12/20 9:16 PM,compostable,1.808,1.128,0.680,
12/14/20 12:14 PM,compostable,1.662,1.128,0.534,
12/15/20 12:57 PM,compostable,3.958,1.128,2.830,
12/18/20 2:35 PM,compostable,2.652,1.128,1.524,
12/22/20 10:59 AM,compostable,4.446,1.128,3.318,
12/26/20 7:37 AM,compostable,2.328,1.128,1.200,
12/26/20 7:47 AM,compostable,4.252,1.128,3.124,
12/27/20 8:44 AM,compostable,2.276,1.128,1.148,
12/28/20 4:17 PM,compostable,2.304,1.128,1.176,
12/31/20 11:50 PM,compostable,2.342,1.128,1.214,
1/4/21 5:48 PM,compostable,3.526,1.128,2.398,
1/6/21 6:17 PM,compostable,3.192,1.128,2.064,
1/10/21 3:33 PM,compostable,3.210,1.128,2.082,
1/12/21 3:16 PM,compostable,1.698,1.128,0.570,
1/15/21 9:24 AM,compostable,1.858,1.128,0.730,
1/16/21 12:34 PM,compostable,3.884,1.128,2.756,
1/17/21 12:57 PM,compostable,1.926,1.128,0.798,
1/18/21 7:18 PM,compostable,2.598,1.128,1.470,
1/23/21 1:53 PM,compostable,3.032,1.128,1.904,
1/24/21 8:28 AM,compostable,1.280,1.128,0.152,
1/27/21 11:04 AM,compostable,2.948,1.128,1.820,
1/30/21 7:59 AM,compostable,2.566,1.128,1.438,
1/30/21 1:57 PM,compostable,1.668,1.128,0.540,
2/1/21 7:50 AM,compostable,1.802,1.128,0.674,
2/2/21 4:37 PM,compostable,1.802,1.128,0.674,
2/5/21 8:55 AM,compostable,3.456,1.128,2.328,
2/5/21 8:08 PM,compostable,1.556,1.128,0.428,
2/7/21 7:11 AM,compostable,1.574,1.128,0.446,
2/9/21 7:14 AM,compostable,3.256,1.128,2.128,
2/12/21 8:55 AM,compostable,2.760,1.128,1.632,
2/16/21 7:26 AM,compostable,3.292,1.128,2.164,
